"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
4.96,-16.4264554632839,-36.6950814586827
5,-16.4741154379504,-37.2874925494763
5.04,-16.489789152879,-37.7932363292768
5.08,-16.4766345318187,-38.1919196692579
5.12,-16.4376212829985,-38.4609139601192
5.16,-16.3755049791414,-38.5763478238197
5.2,-16.2917934020656,-38.5037360451093
5.24,-16.1899389221486,-38.233312060438
5.28,-16.0717894648032,-37.7585846356023
5.32,-15.9388684169047,-37.0986764152766
5.36,-15.7923743836459,-36.3254946411366
5.4,-15.6328602183516,-35.6182898121501
5.44,-15.460962809195,-35.3024319198628
5.48,-15.2773933464407,-35.6403620238579
5.52,-15.0824525484498,-36.6095777473149
5.56,-14.8766278572417,-37.9445054038796
5.6,-14.6610356658286,-39.3756212199601
5.64,-14.4381978565116,-40.7427034073242
5.68,-14.2151372105371,-41.9918897260263
5.72,-14.0049214490327,-43.1123477489957
5.76,-13.8319882823898,-44.1085925566269
5.8,-13.7378713213603,-44.9901062260771
5.84,-13.7898451848765,-45.7643324130626
5.88,-14.0590670670483,-46.4409965964732
5.92,-14.5556761943886,-47.0303017762078
5.96,-15.1951482027267,-47.5381802988994
6,-15.8168451036018,-47.9693737919174
6.04,-16.2752400809471,-48.3275898337167
6.08,-16.5061815049839,-48.6117909718219
6.12,-16.5590289922118,-48.8275278828333
6.16,-16.4954769362638,-48.974822298198
6.2,-16.3701488106014,-49.0512801384013
6.24,-16.2238234549095,-49.0499905780319
6.28,-16.0864948485663,-48.9508646709702
6.32,-15.9770424255866,-48.7048151116314
6.36,-15.895037571302,-48.1665494398421
6.4,-15.8233646129175,-46.633216077525
6.44,-15.7408049218611,-48.3249970966807
6.48,-15.637035910317,-53.1155556919078
6.52,-15.5142527000106,-51.1531583810358
6.56,-15.3817116334154,-50.4017172932623
6.6,-15.2459073407914,-49.9519402007804
6.64,-15.1109528573606,-49.6166503947996
6.68,-14.9790673955723,-49.3380030751911
6.72,-14.8513906793281,-49.0948609476501
6.76,-14.7282552208014,-48.8783522241615
6.8,-14.6094998062391,-48.6850952899223
6.84,-14.4949388790607,-48.5149328698304
6.88,-14.3843298048014,-48.3688125210277
6.92,-14.2774174160828,-48.2481058082512
6.96,-14.1741344618627,-48.1557338600826
7,-14.0740576132027,-48.0912637539066
7.04,-13.9769968963189,-48.0551451540473
7.08,-13.882790253704,-48.0472117438271
7.12,-13.7913031344081,-48.0666488172447
7.16,-13.7024975631684,-48.1126691597962
7.2,-13.6162861601916,-48.1830196129807
7.24,-13.5325434239393,-48.2744193848821
7.28,-13.4512397677555,-48.3839792255403
7.32,-13.3723684857662,-48.5085878160014
7.36,-13.2959454385743,-48.6450074360337
7.4,-13.2221512703224,-48.7902089694382
7.44,-13.1509158961992,-48.9402520995444
7.48,-13.0823279262029,-49.0919065139556
7.52,-13.0164991832944,-49.2419860189848
7.56,-12.9535650365051,-49.3873324323067
7.6,-12.8937752206832,-49.5244644473071
7.64,-12.8373325882907,-49.6498589631082
7.68,-12.7843635572241,-49.7603861229463
7.72,-12.7351012572882,-49.8525104122262
7.76,-12.6897985167294,-49.9224418681473
7.8,-12.6487243395661,-49.9660675419319
7.84,-12.6124278192561,-49.9768451531291
7.88,-12.5809572011232,-49.9511724589925
